Th1,Th2,#Pruned,Rate Pruned,Acc,Delta Acc
-0.009810110699727172,0.010594426764193086,10280653,0.4369442755477798,0.9337,-0.006000000000000005
-0.049997695521583535,0.0499958243459962,23091246,0.9814150672107665,0.1,-0.8397
-0.014606359750710564,0.014213082744241733,13734345,0.5837317363156088,0.9397,0.0
-0.02026277032485866,0.01943761211484094,17194664,0.7308008552343407,0.908,-0.03169999999999995
-0.02656181590143922,0.025069171428540447,19795231,0.8413291323611403,0.5619,-0.3778
-0.03140127478629,0.029098506901972906,21059626,0.8950679519946046,0.1969,-0.7428
-0.03604162472651075,0.03574136743515362,22064920,0.9377945627013885,0.0999,-0.8398
-0.02678904506649439,0.025500348587289272,19903763,0.8459419167935835,0.4941,-0.4456
-0.023792397349776232,0.022645912337360657,18806182,0.7992929602632923,0.8138,-0.1259
-0.0342591486641322,0.033307242844695356,21750763,0.9244423852887997,0.1633,-0.7764
-0.022640442013424952,0.021822155551486283,18369612,0.7807380336087409,0.8449,-0.0948
-0.025383820590943185,0.024103536135799835,19411216,0.8250078776728942,0.685,-0.2546999999999999
-0.026041795130370103,0.024731874941002017,19644595,0.8349268602592207,0.654,-0.28569999999999995
-0.02770940273922813,0.025988787890784067,20135360,0.8557851615158827,0.3784,-0.5612999999999999
-0.025266660175696863,0.024103536135799835,19387423,0.8239966369328257,0.7043,-0.23539999999999994
-0.024400041940474113,0.023269424003639478,19057571,0.8099773967952598,0.7719,-0.16779999999999995
-0.02143595338761631,0.020574265060378034,17789701,0.7560908840767814,0.8886,-0.051100000000000034
-0.02461051011258916,0.023657620219279682,19172808,0.8148751545039675,0.7302,-0.20950000000000002
-0.021028535454047943,0.020300236833682827,17616523,0.7487305407453982,0.8926,-0.04710000000000003
-0.028694660843291347,0.026850703530668374,20414544,0.8676509302199262,0.2605,-0.6792
-0.02410413824447909,0.023132670785735002,18967718,0.806158499883673,0.7838,-0.15589999999999993
-0.024435010649230662,0.023483080994843846,19103783,0.8119414810671065,0.738,-0.2017
-0.03140127478629,0.028910347202199968,21038261,0.8941599051568135,0.2293,-0.7103999999999999
-0.028694660843291347,0.026672859355969726,20390012,0.8666082807921381,0.2858,-0.6538999999999999
-0.022039328295042477,0.021132047557025874,18071915,0.7680854326506357,0.873,-0.06669999999999998
-0.027178013321940007,0.025595498705148188,19986905,0.8494755854192626,0.4388,-0.5008999999999999
-0.02612539514556794,0.025069171428540447,19714555,0.8379002726988121,0.5979,-0.3418
-0.029938267648635875,0.02754153150446086,20684779,0.8791363520411525,0.2444,-0.6953
-0.027845935028614,0.02602069526517017,20162256,0.8569282847430876,0.3479,-0.5918
-0.026337587755083176,0.024993465512942344,19742182,0.8390744646008789,0.5887,-0.351
-0.028103384526356124,0.026430395286133668,20263333,0.8612242196938678,0.3265,-0.6132
-0.022640442013424952,0.02163905488911946,18331714,0.7791273076991406,0.854,-0.0857
-0.027271568272969907,0.025949851769698606,20056345,0.8524268970231109,0.4168,-0.5228999999999999
-0.024047546739048554,0.023036488841367816,18937576,0.8048774164395026,0.794,-0.14569999999999994
-0.026960697707200873,0.025500348587289272,19934206,0.8472357932215206,0.4596,-0.48009999999999997
-0.02839803107893335,0.026534935381477696,20324949,0.8638429987229967,0.3091,-0.6306
-0.026805733408116407,0.025500348587289272,19906614,0.8460630888757058,0.4903,-0.44939999999999997
-0.026960697707200873,0.025605531893998182,19950349,0.8479218966665224,0.4641,-0.47559999999999997
-0.03533123105058939,0.034609979359321696,21936503,0.9323366338098075,0.1453,-0.7944
-0.022187879595118514,0.021196435816890277,18124413,0.7703166820253308,0.8675,-0.07219999999999993
-0.026066910024292466,0.02493986152665505,19683132,0.8365647446958207,0.6272,-0.3125
-0.02981656466861589,0.027497330864189158,20662495,0.8781892462263461,0.2539,-0.6858
-0.03531999339748711,0.034799182593859286,21948347,0.9328400228454639,0.1129,-0.8268
-0.03140127478629,0.029029451234165737,21051797,0.8947352069118494,0.2109,-0.7288
-0.027268612134528854,0.02594567935309309,20055195,0.8523780201748329,0.4194,-0.5203
-0.028433042864911724,0.026534935381477696,20330445,0.8640765875561585,0.3023,-0.6374
-0.03532005305845403,0.034609979359321696,21935563,0.9322966822990412,0.1431,-0.7966
-0.026130610460813632,0.024979462772087357,19701268,0.8373355538439686,0.6157,-0.32399999999999995
-0.02785439666067084,0.02602069526517017,20163699,0.8569896145622746,0.3423,-0.5973999999999999
-0.035993654268210905,0.035280651507999986,22032366,0.9364109653806558,0.1073,-0.8324
