Th1,Th2,Non-Zero Weights,Classification Error
-0.009810110699727172,0.010594426764193086,13247869.0,0.0
-0.049997695521583535,0.0499958243459962,437276.0,0.9
-0.014606359750710564,0.014213082744241733,9794177.0,0.0020000000000000018
-0.02026277032485866,0.01943761211484094,6333858.0,0.02400000000000002
-0.02656181590143922,0.025069171428540447,3733291.0,0.41600000000000004
-0.03140127478629,0.029098506901972906,2468896.0,0.806
-0.03604162472651075,0.03574136743515362,1463602.0,0.898
-0.02678904506649439,0.025500348587289272,3624759.0,0.482
-0.023792397349776232,0.022645912337360657,4722340.0,0.132
-0.0342591486641322,0.033307242844695356,1777759.0,0.83
-0.022640442013424952,0.021822155551486283,5158910.0,0.09999999999999998
-0.025383820590943185,0.024103536135799835,4117306.0,0.28800000000000003
-0.026041795130370103,0.024731874941002017,3883927.0,0.32399999999999995
-0.02770940273922813,0.025988787890784067,3393162.0,0.608
-0.025266660175696863,0.024103536135799835,4141099.0,0.262
-0.024400041940474113,0.023269424003639478,4470951.0,0.18999999999999995
-0.02143595338761631,0.020574265060378034,5738821.0,0.04400000000000004
-0.02461051011258916,0.023657620219279682,4355714.0,0.236
-0.021028535454047943,0.020300236833682827,5911999.0,0.03400000000000003
-0.028694660843291347,0.026850703530668374,3113978.0,0.746
-0.02410413824447909,0.023132670785735002,4560804.0,0.16000000000000003
-0.024435010649230662,0.023483080994843846,4424739.0,0.21799999999999997
-0.03140127478629,0.028910347202199968,2490261.0,0.776
-0.028694660843291347,0.026672859355969726,3138510.0,0.712
-0.022039328295042477,0.021132047557025874,5456607.0,0.06599999999999995
-0.027178013321940007,0.025595498705148188,3541617.0,0.552
-0.02612539514556794,0.025069171428540447,3813967.0,0.376
-0.029938267648635875,0.02754153150446086,2843743.0,0.762
-0.027845935028614,0.02602069526517017,3366266.0,0.644
-0.026337587755083176,0.024993465512942344,3786340.0,0.402
-0.028103384526356124,0.026430395286133668,3265189.0,0.6659999999999999
-0.022640442013424952,0.02163905488911946,5196808.0,0.08399999999999996
-0.027271568272969907,0.025949851769698606,3472177.0,0.5780000000000001
-0.024047546739048554,0.023036488841367816,4590946.0,0.14400000000000002
-0.026960697707200873,0.025500348587289272,3594316.0,0.518
-0.02839803107893335,0.026534935381477696,3203573.0,0.6859999999999999
-0.026805733408116407,0.025500348587289272,3621908.0,0.494
-0.026960697707200873,0.025605531893998182,3578173.0,0.53
-0.03533123105058939,0.034609979359321696,1592019.0,0.858
-0.022187879595118514,0.021196435816890277,5404109.0,0.07199999999999995
-0.026066910024292466,0.02493986152665505,3845390.0,0.348
-0.02981656466861589,0.027497330864189158,2866027.0,0.754
-0.03531999339748711,0.034799182593859286,1580175.0,0.878
-0.03140127478629,0.029029451234165737,2476725.0,0.79
-0.027268612134528854,0.02594567935309309,3473327.0,0.5720000000000001
-0.028433042864911724,0.026534935381477696,3198077.0,0.7
-0.03532005305845403,0.034609979359321696,1592959.0,0.842
-0.026130610460813632,0.024979462772087357,3827254.0,0.356
-0.02785439666067084,0.02602069526517017,3364823.0,0.652
-0.035993654268210905,0.035280651507999986,1496156.0,0.886
