Th1,Th2,Validation Accuracy,Test Accuracy,Non-Zero Weights
-0.009810110699727172,0.010594426764193086,0.9865,0.9337,13247869
-0.049997695521583535,0.0499958243459962,0.0905,0.1,437276
-0.014606359750710564,0.014213082744241733,0.988,0.9397,9794177
-0.02026277032485866,0.01943761211484094,0.959,0.908,6333858
-0.02656181590143922,0.025069171428540447,0.594,0.5619,3733291
-0.03140127478629,0.029098506901972906,0.2065,0.1969,2468896
-0.03604162472651075,0.03574136743515362,0.0915,0.0999,1463602
-0.02678904506649439,0.025500348587289272,0.5205,0.4941,3624759
-0.023792397349776232,0.022645912337360657,0.846,0.8138,4722340
-0.0342591486641322,0.033307242844695356,0.154,0.1633,1777759
-0.022640442013424952,0.021822155551486283,0.881,0.8449,5158910
-0.025383820590943185,0.024103536135799835,0.7125,0.685,4117306
-0.026041795130370103,0.024731874941002017,0.6915,0.654,3883927
-0.02770940273922813,0.025988787890784067,0.3785,0.3784,3393162
-0.025266660175696863,0.024103536135799835,0.733,0.7043,4141099
-0.024400041940474113,0.023269424003639478,0.806,0.7719,4470951
-0.02143595338761631,0.020574265060378034,0.938,0.8886,5738821
-0.02461051011258916,0.023657620219279682,0.7575,0.7302,4355714
-0.021028535454047943,0.020300236833682827,0.9415,0.8926,5911999
-0.028694660843291347,0.026850703530668374,0.2685,0.2605,3113978
-0.02410413824447909,0.023132670785735002,0.8115,0.7838,4560804
-0.024435010649230662,0.023483080994843846,0.7625,0.738,4424739
-0.03140127478629,0.028910347202199968,0.231,0.2293,2490261
-0.028694660843291347,0.026672859355969726,0.298,0.2858,3138510
-0.022039328295042477,0.021132047557025874,0.9205,0.873,5456607
-0.027178013321940007,0.025595498705148188,0.4585,0.4388,3541617
-0.02612539514556794,0.025069171428540447,0.6305,0.5979,3813967
-0.029938267648635875,0.02754153150446086,0.2515,0.2444,2843743
-0.027845935028614,0.02602069526517017,0.3555,0.3479,3366266
-0.026337587755083176,0.024993465512942344,0.6235,0.5887,3786340
-0.028103384526356124,0.026430395286133668,0.335,0.3265,3265189
-0.022640442013424952,0.02163905488911946,0.896,0.854,5196808
-0.027271568272969907,0.025949851769698606,0.44,0.4168,3472177
-0.024047546739048554,0.023036488841367816,0.8225,0.794,4590946
-0.026960697707200873,0.025500348587289272,0.474,0.4596,3594316
-0.02839803107893335,0.026534935381477696,0.321,0.3091,3203573
-0.026805733408116407,0.025500348587289272,0.514,0.4903,3621908
-0.026960697707200873,0.025605531893998182,0.4845,0.4641,3578173
-0.03533123105058939,0.034609979359321696,0.1385,0.1453,1592019
-0.022187879595118514,0.021196435816890277,0.9155,0.8675,5404109
-0.026066910024292466,0.02493986152665505,0.6615,0.6272,3845390
-0.02981656466861589,0.027497330864189158,0.257,0.2539,2866027
-0.03531999339748711,0.034799182593859286,0.1065,0.1129,1580175
-0.03140127478629,0.029029451234165737,0.215,0.2109,2476725
-0.027268612134528854,0.02594567935309309,0.4425,0.4194,3473327
-0.028433042864911724,0.026534935381477696,0.318,0.3023,3198077
-0.03532005305845403,0.034609979359321696,0.1335,0.1431,1592959
-0.026130610460813632,0.024979462772087357,0.6545,0.6157,3827254
-0.02785439666067084,0.02602069526517017,0.353,0.3423,3364823
-0.035993654268210905,0.035280651507999986,0.107,0.1073,1496156
