Layer Name,Non-Zero Weights,Color
conv1,6369,tab:gray
layer1.0.conv1,18860,tab:blue
layer1.0.conv2,21389,tab:blue
layer1.1.conv1,22372,tab:blue
layer1.1.conv2,21879,tab:blue
layer1.2.conv1,22491,tab:blue
layer1.2.conv2,21529,tab:blue
layer2.0.conv1,42528,tab:orange
layer2.0.conv2,75431,tab:orange
layer2.0.downsample.0,5629,tab:orange
layer2.1.conv1,70753,tab:orange
layer2.1.conv2,73229,tab:orange
layer2.2.conv1,75163,tab:orange
layer2.2.conv2,74820,tab:orange
layer2.3.conv1,79977,tab:orange
layer2.3.conv2,70874,tab:orange
layer3.0.conv1,153646,tab:green
layer3.0.conv2,284366,tab:green
layer3.0.downsample.0,20492,tab:green
layer3.1.conv1,241898,tab:green
layer3.1.conv2,246749,tab:green
layer3.2.conv1,249332,tab:green
layer3.2.conv2,242344,tab:green
layer3.3.conv1,247946,tab:green
layer3.3.conv2,226984,tab:green
layer3.4.conv1,254182,tab:green
layer3.4.conv2,231561,tab:green
layer3.5.conv1,261242,tab:green
layer3.5.conv2,240502,tab:green
layer4.0.conv1,554400,tab:red
layer4.0.conv2,934628,tab:red
layer4.0.downsample.0,73672,tab:red
layer4.1.conv1,900437,tab:red
layer4.1.conv2,805215,tab:red
layer4.2.conv1,923300,tab:red
layer4.2.conv2,729818,tab:red
