Layer Name,Sparsity
layer1.0.conv1,0.4883897569444444
layer1.0.conv2,0.4197862413194444
layer1.1.conv1,0.3931206597222222
layer1.1.conv2,0.406494140625
layer1.2.conv1,0.389892578125
layer1.2.conv2,0.41598849826388884
layer2.0.conv1,0.42317708333333337
layer2.0.conv2,0.4884507921006944
layer2.0.downsample.0,0.3128662109375
layer2.1.conv1,0.5201755099826388
layer2.1.conv2,0.5033840603298612
layer2.2.conv1,0.49026828342013884
layer2.2.conv2,0.49259440104166663
layer2.3.conv1,0.45762125651041663
layer2.3.conv2,0.5193549262152778
layer3.0.conv1,0.4790106879340278
layer3.0.conv2,0.5178799099392362
layer3.0.downsample.0,0.3746337890625
layer3.1.conv1,0.5898810492621528
layer3.1.conv2,0.5816565619574653
layer3.2.conv1,0.5772772894965278
layer3.2.conv2,0.5891248914930556
layer3.3.conv1,0.5796271430121528
layer3.3.conv2,0.6151665581597222
layer3.4.conv1,0.5690544976128472
layer3.4.conv2,0.6074066162109375
layer3.5.conv1,0.5570848253038194
layer3.5.conv2,0.5922478569878472
layer4.0.conv1,0.530029296875
layer4.0.conv2,0.6038530137803819
layer4.0.downsample.0,0.43792724609375
layer4.1.conv1,0.6183450486924913
layer4.1.conv2,0.6587053934733074
layer4.2.conv1,0.6086544460720487
layer4.2.conv2,0.6906628078884549
