Th1,Th2,Non-Zero Weights,Classification Error
-0.049968149408354146,0.04993745513186868,376387.0,0.899
-0.004116605851378099,0.005324041893038354,16775784.0,0.0040000000000000036
-0.02383122716764496,0.023282485416846303,4116537.0,0.06799999999999995
-0.015098347958832947,0.014589800855737217,8546716.0,0.01100000000000001
-0.00989784040178561,0.010243114128443441,12069859.0,0.006000000000000005
-0.005326580357962381,0.005782239207861542,15988690.0,0.0050000000000000044
-0.011757661348758237,0.011940452884002976,10676811.0,0.007000000000000006
-0.029279078370318432,0.02891697777350202,2463810.0,0.31699999999999995
-0.02794145152550454,0.02742125337418727,2814206.0,0.21799999999999997
-0.03565765217524091,0.03683300133525537,1257819.0,0.782
-0.013782117803567383,0.01401528154746622,9203161.0,0.008000000000000007
-0.037477555756621976,0.03985682995910151,1011403.0,0.853
-0.031059507050961804,0.0307837624122997,2072762.0,0.41300000000000003
-0.03296914179002698,0.03308586099201375,1698227.0,0.515
-0.026534747985617328,0.025999060432231803,3212084.0,0.14900000000000002
-0.029946300483470085,0.029493851439439202,2321703.0,0.38
-0.031053344116097233,0.03092133688461629,2061370.0,0.43600000000000005
-0.024610325385673947,0.023948575925685587,3853888.0,0.08299999999999996
-0.03380075612991508,0.034219480822624056,1548665.0,0.657
-0.025343107740557945,0.024963024420721597,3563141.0,0.10499999999999998
-0.031386115620632246,0.03155384358565162,1972028.0,0.484
-0.02713412407433963,0.026723773567730688,3021509.0,0.17200000000000004
-0.03534524770180726,0.035915688962297056,1327971.0,0.751
-0.03439532038807615,0.035085241136917286,1446890.0,0.6859999999999999
-0.026162278716227137,0.02559655577349615,3329578.0,0.127
-0.03134250354426344,0.03108055127203419,2016475.0,0.46599999999999997
-0.03497336010220428,0.03573610979855223,1365435.0,0.7170000000000001
-0.04282257956317128,0.0442939604765079,643283.0,0.865
-0.02747204048288722,0.02693804849780978,2942578.0,0.19599999999999995
-0.02942723652445138,0.029201559514616993,2415634.0,0.349
-0.014658244920360563,0.014538781769746538,8719252.0,0.010000000000000009
-0.04385855753603989,0.04568974319363835,579828.0,0.877
-0.03346916190476814,0.03385512231598084,1600746.0,0.5680000000000001
-0.02966448439704776,0.029341757325036792,2371488.0,0.371
-0.03513581470991157,0.035951871477483216,1341228.0,0.739
-0.03458752406422877,0.03501520744952139,1436022.0,0.698
-0.025673103266902177,0.02520876257040189,3468388.0,0.11599999999999999
-0.02942723652445138,0.028915244862591255,2445054.0,0.33499999999999996
-0.03351602256267526,0.034001076732538695,1587251.0,0.616
-0.033557696920739455,0.034057605530983935,1579869.0,0.639
-0.04996811230140132,0.0498723340263599,377341.0,0.888
-0.037477555756621976,0.04015260907665441,1000667.0,0.858
-0.03309893840604563,0.03331054033302512,1670691.0,0.531
-0.02383122716764496,0.023555894732978797,4071847.0,0.07699999999999996
-0.02794145152550454,0.02739519717253291,2817383.0,0.21599999999999997
-0.02713412407433963,0.02685462002006215,3005439.0,0.18600000000000005
-0.03321919987180408,0.03331054033302512,1659934.0,0.556
-0.03351602256267526,0.033941854373082385,1591080.0,0.591
-0.03310476563523368,0.033347882791966404,1667566.0,0.544
-0.03344349562357482,0.03393644943598134,1597751.0,0.5900000000000001
