Solution,Th1,Th2,Optimization Acc (%),Validation Acc (%),Test Acc (%),#Non-Zero Weights
1,-0.005326580357962381,0.005782239207861542,99.5,99.5,94.39999999999999,15988690
2,-0.004116605851378099,0.005324041893038354,99.6,99.45,94.37,16775784
3,-0.00989784040178561,0.010243114128443441,99.4,99.45,94.36,12069859
4,-0.011757661348758237,0.011940452884002976,99.3,99.45,94.35,10676811
5,-0.014658244920360563,0.014538781769746538,99.0,99.25,94.34,8719252
6,-0.013782117803567383,0.01401528154746622,99.2,99.25,94.15,9203161
7,-0.015098347958832947,0.014589800855737217,98.9,98.75,93.71000000000001,8546716
8,-0.02383122716764496,0.023282485416846303,93.2,93.60000000000001,88.44999999999999,4116537
9,-0.024610325385673947,0.023948575925685587,91.7,92.2,87.49,3853888
10,-0.02383122716764496,0.023555894732978797,92.30000000000001,92.45,87.46000000000001,4071847
11,-0.025673103266902177,0.02520876257040189,88.4,89.45,85.45,3468388
12,-0.025343107740557945,0.024963024420721597,89.5,88.94999999999999,85.32,3563141
13,-0.026162278716227137,0.02559655577349615,87.3,88.0,84.03,3329578
14,-0.026534747985617328,0.025999060432231803,85.1,86.15,82.95,3212084
15,-0.02713412407433963,0.026723773567730688,82.8,83.5,80.16,3021509
16,-0.02713412407433963,0.02685462002006215,81.39999999999999,81.6,79.0,3005439
17,-0.02747204048288722,0.02693804849780978,80.4,82.65,78.96,2942578
18,-0.02794145152550454,0.02739519717253291,78.4,79.2,76.98,2817383
19,-0.02794145152550454,0.02742125337418727,78.2,78.60000000000001,76.69,2814206
20,-0.029279078370318432,0.02891697777350202,68.30000000000001,68.4,66.43,2463810
21,-0.02942723652445138,0.028915244862591255,66.5,67.75,65.47,2445054
22,-0.02942723652445138,0.029201559514616993,65.10000000000001,65.10000000000001,63.55,2415634
23,-0.02966448439704776,0.029341757325036792,62.9,63.349999999999994,61.919999999999995,2371488
24,-0.029946300483470085,0.029493851439439202,62.0,63.74999999999999,61.11,2321703
25,-0.031059507050961804,0.0307837624122997,58.699999999999996,58.9,57.4,2072762
26,-0.031053344116097233,0.03092133688461629,56.39999999999999,56.55,55.669999999999995,2061370
27,-0.03134250354426344,0.03108055127203419,53.400000000000006,53.400000000000006,51.68000000000001,2016475
28,-0.031386115620632246,0.03155384358565162,51.6,49.9,49.84,1972028
29,-0.03296914179002698,0.03308586099201375,48.5,48.949999999999996,48.52,1698227
30,-0.03309893840604563,0.03331054033302512,46.9,46.85,47.42,1670691
31,-0.03310476563523368,0.033347882791966404,45.6,46.0,46.910000000000004,1667566
32,-0.03321919987180408,0.03331054033302512,44.4,44.6,44.379999999999995,1659934
33,-0.03346916190476814,0.03385512231598084,43.2,43.65,43.13,1600746
34,-0.03344349562357482,0.03393644943598134,41.0,41.9,41.83,1597751
35,-0.03351602256267526,0.033941854373082385,40.9,41.5,41.64,1591080
36,-0.03351602256267526,0.034001076732538695,38.4,39.25,39.26,1587251
37,-0.033557696920739455,0.034057605530983935,36.1,37.25,37.37,1579869
38,-0.03380075612991508,0.034219480822624056,34.300000000000004,36.449999999999996,36.85,1548665
39,-0.03439532038807615,0.035085241136917286,31.4,34.300000000000004,33.14,1446890
40,-0.03497336010220428,0.03573610979855223,28.299999999999997,30.55,30.31,1365435
41,-0.03458752406422877,0.03501520744952139,30.2,30.8,30.25,1436022
42,-0.03513581470991157,0.035951871477483216,26.1,27.650000000000002,27.54,1341228
43,-0.03534524770180726,0.035915688962297056,24.9,26.75,26.21,1327971
44,-0.03565765217524091,0.03683300133525537,21.8,22.900000000000002,21.84,1257819
45,-0.04282257956317128,0.0442939604765079,13.5,14.249999999999998,14.879999999999999,643283
46,-0.037477555756621976,0.03985682995910151,14.7,14.85,14.42,1011403
47,-0.04385855753603989,0.04568974319363835,12.3,13.15,13.86,579828
48,-0.037477555756621976,0.04015260907665441,14.2,14.000000000000002,13.81,1000667
49,-0.049968149408354146,0.04993745513186868,10.100000000000001,10.7,10.41,376387
50,-0.04996811230140132,0.0498723340263599,11.200000000000001,10.0,10.36,377341
