Th1,Th2,#Pruned,Rate Pruned,Acc,Delta Acc
-0.04999767893023575,0.04999941155817267,42111257,0.9903719016524912,0.0996,-0.8436
-0.013615278346125683,0.013211466539371336,26482265,0.6228095054990928,0.9432,0.0
-0.016818200273544623,0.015463229515685623,30082239,0.7074736392787975,0.8729,-0.07030000000000003
-0.019953998733144015,0.01925206370768436,33642843,0.7912118699972837,0.8282,-0.11499999999999999
-0.04900969481772881,0.049932919811245084,42094556,0.9899791277884981,0.1166,-0.8266
-0.030003023286926576,0.030816492756942267,39700118,0.933666771321699,0.1334,-0.8098000000000001
-0.015004711403422072,0.014439013561118345,28278541,0.6650542971473861,0.9356,-0.007600000000000051
-0.028539826173358037,0.027624991325267995,38922899,0.9153881467004855,0.2309,-0.7123
-0.015844699069587513,0.015233023775038572,29319235,0.6895293228113869,0.9309,-0.012300000000000089
-0.02073794991375254,0.019854071676172775,34255157,0.8056122613365506,0.7935,-0.14970000000000006
-0.014436825892015226,0.013983361613816275,27591378,0.6488936081645036,0.9392,-0.0040000000000000036
-0.020143094003270325,0.019275921740815143,33745553,0.793627402215159,0.8315,-0.11170000000000002
-0.024808276114103942,0.02381013723768728,37101440,0.8725511016412025,0.4748,-0.46840000000000004
-0.021209847252735056,0.02016708675341436,34587468,0.8134275463804057,0.7656,-0.1776000000000001
-0.028070955814224204,0.027089010826428526,38720188,0.9106207924855335,0.2642,-0.679
-0.026781973288371976,0.02552968255788697,38086820,0.8957252534944785,0.3493,-0.5939000000000001
-0.026378876841420977,0.02501888909551435,37862638,0.8904529446280807,0.4033,-0.5399
-0.01610980140665512,0.015935047232257023,29881296,0.7027478648609558,0.9083,-0.03490000000000004
-0.027557090397647786,0.026318891797479056,38448422,0.9042294038308445,0.3152,-0.6280000000000001
-0.023039118627501513,0.021918742149064564,35939759,0.8452307055513028,0.6222,-0.32100000000000006
-0.024275497062120236,0.023037694366300706,36715805,0.8634817435763564,0.5069,-0.4363
-0.02270326175415126,0.02168432871756319,35736301,0.8404457834017118,0.6569,-0.2863
-0.023242770745547373,0.022427134766737335,36172570,0.8507059511084614,0.5963,-0.3469
-0.027801935491789213,0.026715270192357386,38585935,0.9074634324733982,0.2972,-0.646
-0.022176024677307588,0.02137102856713714,35423887,0.8330984357012416,0.6806,-0.26260000000000006
-0.025673065031839807,0.024505734376131155,37540932,0.8828870678129332,0.4366,-0.5066
-0.02374064563098202,0.02283708897229003,36473702,0.8577879689045205,0.5406,-0.40260000000000007
-0.02630398906955312,0.02501888909551435,37842462,0.8899784457669391,0.4149,-0.5283
-0.016209356739880047,0.015518767622073219,29721090,0.6989801425895418,0.9273,-0.015900000000000025
-0.020776234260937398,0.019942414165899435,34306303,0.8068151121866669,0.7919,-0.1513
-0.02244002900588428,0.021593835141799047,35603283,0.8373174681007933,0.6658,-0.2774000000000001
-0.023550650624553648,0.02259935365755381,36336606,0.8545637472616247,0.5597,-0.38350000000000006
-0.026815868921563926,0.025819076629704556,38158960,0.8974218409172955,0.3429,-0.6003000000000001
-0.024910069453207843,0.02394855903784457,37169975,0.8741629067288482,0.4533,-0.48990000000000006
-0.029985632812604506,0.030444567539844848,39648046,0.9324421428176662,0.1467,-0.7965
-0.02804289715877919,0.026894842446720232,38676574,0.9095950790968623,0.2734,-0.6698000000000001
-0.023242770745547373,0.022294971066342505,36132684,0.8497679127670908,0.6105,-0.3327
-0.021843522412470694,0.020878386544640276,35117414,0.8258908083484142,0.7258,-0.21740000000000004
-0.014133228875424642,0.013420722157293046,27012059,0.6352691927334131,0.94,-0.0032000000000000917
-0.02136851247604214,0.020527273289996272,34789023,0.8181677138049395,0.7532,-0.19000000000000006
-0.02935271482316529,0.030075328728848348,39477654,0.928434866353172,0.2023,-0.7409
-0.023612063870329596,0.022671006724789868,36379512,0.8555728099170639,0.5542,-0.389
-0.0220889141490263,0.021106476969869756,35298750,0.8301554656384603,0.7003,-0.2429
-0.021592897903984304,0.020506653395291893,34879410,0.8202934338962363,0.744,-0.19920000000000004
-0.021968431189297775,0.020878386544640276,35169747,0.8271215750464774,0.7102,-0.23299999999999998
-0.030003023286926576,0.03007382301344246,39600970,0.9313350101656489,0.1785,-0.7647
-0.030003023286926576,0.030116632420051522,39606844,0.9314731548083108,0.172,-0.7712000000000001
-0.029436218927571978,0.030075328728848348,39493844,0.928815622526937,0.1998,-0.7434000000000001
-0.024067417937189153,0.022922983736670358,36611892,0.8610379192227776,0.5157,-0.4275
-0.025673065031839807,0.024469038433075345,37531880,0.8826741830146059,0.4442,-0.49900000000000005
