Th1,Th2,Validation Accuracy,Test Accuracy,Non-Zero Weights
-0.04999767893023575,0.04999941155817267,0.0905,0.0996,409393
-0.013615278346125683,0.013211466539371336,0.992,0.9432,16038385
-0.016818200273544623,0.015463229515685623,0.9385,0.8729,12438411
-0.019953998733144015,0.01925206370768436,0.878,0.8282,8877807
-0.04900969481772881,0.049932919811245084,0.1145,0.1166,426094
-0.030003023286926576,0.030816492756942267,0.1275,0.1334,2820532
-0.015004711403422072,0.014439013561118345,0.9885,0.9356,14242109
-0.028539826173358037,0.027624991325267995,0.2405,0.2309,3597751
-0.015844699069587513,0.015233023775038572,0.9845,0.9309,13201415
-0.02073794991375254,0.019854071676172775,0.8355,0.7935,8265493
-0.014436825892015226,0.013983361613816275,0.9915,0.9392,14929272
-0.020143094003270325,0.019275921740815143,0.8805,0.8315,8775097
-0.024808276114103942,0.02381013723768728,0.4905,0.4748,5419210
-0.021209847252735056,0.02016708675341436,0.805,0.7656,7933182
-0.028070955814224204,0.027089010826428526,0.2675,0.2642,3800462
-0.026781973288371976,0.02552968255788697,0.357,0.3493,4433830
-0.026378876841420977,0.02501888909551435,0.406,0.4033,4658012
-0.01610980140665512,0.015935047232257023,0.9655,0.9083,12639354
-0.027557090397647786,0.026318891797479056,0.3225,0.3152,4072228
-0.023039118627501513,0.021918742149064564,0.6315,0.6222,6580891
-0.024275497062120236,0.023037694366300706,0.5165,0.5069,5804845
-0.02270326175415126,0.02168432871756319,0.666,0.6569,6784349
-0.023242770745547373,0.022427134766737335,0.608,0.5963,6348080
-0.027801935491789213,0.026715270192357386,0.3035,0.2972,3934715
-0.022176024677307588,0.02137102856713714,0.712,0.6806,7096763
-0.025673065031839807,0.024505734376131155,0.448,0.4366,4979718
-0.02374064563098202,0.02283708897229003,0.55,0.5406,6046948
-0.02630398906955312,0.02501888909551435,0.418,0.4149,4678188
-0.016209356739880047,0.015518767622073219,0.98,0.9273,12799560
-0.020776234260937398,0.019942414165899435,0.827,0.7919,8214347
-0.02244002900588428,0.021593835141799047,0.6925,0.6658,6917367
-0.023550650624553648,0.02259935365755381,0.5705,0.5597,6184044
-0.026815868921563926,0.025819076629704556,0.3435,0.3429,4361690
-0.024910069453207843,0.02394855903784457,0.457,0.4533,5350675
-0.029985632812604506,0.030444567539844848,0.138,0.1467,2872604
-0.02804289715877919,0.026894842446720232,0.287,0.2734,3844076
-0.023242770745547373,0.022294971066342505,0.6205,0.6105,6387966
-0.021843522412470694,0.020878386544640276,0.7565,0.7258,7403236
-0.014133228875424642,0.013420722157293046,0.9895,0.94,15508591
-0.02136851247604214,0.020527273289996272,0.789,0.7532,7731627
-0.02935271482316529,0.030075328728848348,0.199,0.2023,3042996
-0.023612063870329596,0.022671006724789868,0.567,0.5542,6141138
-0.0220889141490263,0.021106476969869756,0.7295,0.7003,7221900
-0.021592897903984304,0.020506653395291893,0.785,0.744,7641240
-0.021968431189297775,0.020878386544640276,0.7405,0.7102,7350903
-0.030003023286926576,0.03007382301344246,0.1785,0.1785,2919680
-0.030003023286926576,0.030116632420051522,0.1685,0.172,2913806
-0.029436218927571978,0.030075328728848348,0.1935,0.1998,3026806
-0.024067417937189153,0.022922983736670358,0.5245,0.5157,5908758
-0.025673065031839807,0.024469038433075345,0.451,0.4442,4988770
