Th1,Th2,Non-Zero Weights,Classification Error
-0.04999767893023575,0.04999941155817267,409393.0,0.897
-0.013615278346125683,0.013211466539371336,16038385.0,0.0040000000000000036
-0.016818200273544623,0.015463229515685623,12438411.0,0.07099999999999995
-0.019953998733144015,0.01925206370768436,8877807.0,0.11699999999999999
-0.04900969481772881,0.049932919811245084,426094.0,0.872
-0.030003023286926576,0.030816492756942267,2820532.0,0.866
-0.015004711403422072,0.014439013561118345,14242109.0,0.014000000000000012
-0.028539826173358037,0.027624991325267995,3597751.0,0.777
-0.015844699069587513,0.015233023775038572,13201415.0,0.016000000000000014
-0.02073794991375254,0.019854071676172775,8265493.0,0.15800000000000003
-0.014436825892015226,0.013983361613816275,14929272.0,0.01100000000000001
-0.020143094003270325,0.019275921740815143,8775097.0,0.118
-0.024808276114103942,0.02381013723768728,5419210.0,0.514
-0.021209847252735056,0.02016708675341436,7933182.0,0.19399999999999995
-0.028070955814224204,0.027089010826428526,3800462.0,0.736
-0.026781973288371976,0.02552968255788697,4433830.0,0.641
-0.026378876841420977,0.02501888909551435,4658012.0,0.593
-0.01610980140665512,0.015935047232257023,12639354.0,0.039000000000000035
-0.027557090397647786,0.026318891797479056,4072228.0,0.6719999999999999
-0.023039118627501513,0.021918742149064564,6580891.0,0.344
-0.024275497062120236,0.023037694366300706,5804845.0,0.488
-0.02270326175415126,0.02168432871756319,6784349.0,0.31299999999999994
-0.023242770745547373,0.022427134766737335,6348080.0,0.381
-0.027801935491789213,0.026715270192357386,3934715.0,0.6930000000000001
-0.022176024677307588,0.02137102856713714,7096763.0,0.277
-0.025673065031839807,0.024505734376131155,4979718.0,0.546
-0.02374064563098202,0.02283708897229003,6046948.0,0.44299999999999995
-0.02630398906955312,0.02501888909551435,4678188.0,0.581
-0.016209356739880047,0.015518767622073219,12799560.0,0.02100000000000002
-0.020776234260937398,0.019942414165899435,8214347.0,0.16700000000000004
-0.02244002900588428,0.021593835141799047,6917367.0,0.29900000000000004
-0.023550650624553648,0.02259935365755381,6184044.0,0.41100000000000003
-0.026815868921563926,0.025819076629704556,4361690.0,0.647
-0.024910069453207843,0.02394855903784457,5350675.0,0.536
-0.029985632812604506,0.030444567539844848,2872604.0,0.846
-0.02804289715877919,0.026894842446720232,3844076.0,0.719
-0.023242770745547373,0.022294971066342505,6387966.0,0.359
-0.021843522412470694,0.020878386544640276,7403236.0,0.23099999999999998
-0.014133228875424642,0.013420722157293046,15508591.0,0.008000000000000007
-0.02136851247604214,0.020527273289996272,7731627.0,0.21199999999999997
-0.02935271482316529,0.030075328728848348,3042996.0,0.786
-0.023612063870329596,0.022671006724789868,6141138.0,0.42200000000000004
-0.0220889141490263,0.021106476969869756,7221900.0,0.258
-0.021592897903984304,0.020506653395291893,7641240.0,0.21999999999999997
-0.021968431189297775,0.020878386544640276,7350903.0,0.252
-0.030003023286926576,0.03007382301344246,2919680.0,0.8140000000000001
-0.030003023286926576,0.030116632420051522,2913806.0,0.819
-0.029436218927571978,0.030075328728848348,3026806.0,0.789
-0.024067417937189153,0.022922983736670358,5908758.0,0.46599999999999997
-0.025673065031839807,0.024469038433075345,4988770.0,0.5409999999999999
