Layer Name,Sparsity
layer1.0.conv1,0.353515625
layer1.0.conv2,0.5396592881944444
layer1.0.conv3,0.52093505859375
layer1.0.downsample.0,0.43505859375
layer1.1.conv1,0.48370361328125
layer1.1.conv2,0.4685601128472222
layer1.1.conv3,0.522705078125
layer1.2.conv1,0.435546875
layer1.2.conv2,0.3817274305555556
layer1.2.conv3,0.550537109375
layer2.0.conv1,0.4022216796875
layer2.0.conv2,0.4847344292534722
layer2.0.conv3,0.5339813232421875
layer2.0.downsample.0,0.6063385009765625
layer2.1.conv1,0.6891937255859375
layer2.1.conv2,0.6100396050347222
layer2.1.conv3,0.63543701171875
layer2.2.conv1,0.5149078369140625
layer2.2.conv2,0.5253770616319444
layer2.2.conv3,0.4674530029296875
layer2.3.conv1,0.461151123046875
layer2.3.conv2,0.47269015842013884
layer2.3.conv3,0.4981536865234375
layer3.0.conv1,0.412017822265625
layer3.0.conv2,0.5523291693793403
layer3.0.conv3,0.4927940368652344
layer3.0.downsample.0,0.6048698425292969
layer3.1.conv1,0.6192893981933594
layer3.1.conv2,0.603973388671875
layer3.1.conv3,0.5241889953613281
layer3.2.conv1,0.5991897583007812
layer3.2.conv2,0.5847761366102431
layer3.2.conv3,0.5290870666503906
layer3.3.conv1,0.5555191040039062
layer3.3.conv2,0.5756276448567708
layer3.3.conv3,0.5367202758789062
layer3.4.conv1,0.5323562622070312
layer3.4.conv2,0.5752037896050347
layer3.4.conv3,0.5394439697265625
layer3.5.conv1,0.4993247985839844
layer3.5.conv2,0.5679100884331597
layer3.5.conv3,0.5147476196289062
layer4.0.conv1,0.43100547790527344
layer4.0.conv2,0.6027552286783855
layer4.0.conv3,0.5695295333862305
layer4.0.downsample.0,0.6734509468078613
layer4.1.conv1,0.577479362487793
layer4.1.conv2,0.613477071126302
layer4.1.conv3,0.5745267868041992
layer4.2.conv1,0.5148181915283203
layer4.2.conv2,0.6405715942382812
layer4.2.conv3,0.6061115264892578
