Layer Name,Non-Zero Weights,Color
conv1,6996,tab:gray
layer1.0.conv1,2648,tab:blue
layer1.0.conv2,16970,tab:blue
layer1.0.conv3,7849,tab:blue
layer1.0.downsample.0,9256,tab:blue
layer1.1.conv1,8459,tab:blue
layer1.1.conv2,19591,tab:blue
layer1.1.conv3,7820,tab:blue
layer1.2.conv1,9248,tab:blue
layer1.2.conv2,22792,tab:blue
layer1.2.conv3,7364,tab:blue
layer2.0.conv1,19588,tab:orange
layer2.0.conv2,75979,tab:orange
layer2.0.conv3,30541,tab:orange
layer2.0.downsample.0,51598,tab:orange
layer2.1.conv1,20369,tab:orange
layer2.1.conv2,57502,tab:orange
layer2.1.conv3,23892,tab:orange
layer2.2.conv1,31791,tab:orange
layer2.2.conv2,69986,tab:orange
layer2.2.conv3,34901,tab:orange
layer2.3.conv1,35314,tab:orange
layer2.3.conv2,77755,tab:orange
layer2.3.conv3,32889,tab:orange
layer3.0.conv1,77068,tab:green
layer3.0.conv2,264047,tab:green
layer3.0.conv3,132961,tab:green
layer3.0.downsample.0,207162,tab:green
layer3.1.conv1,99801,tab:green
layer3.1.conv2,233586,tab:green
layer3.1.conv3,124731,tab:green
layer3.2.conv1,105070,tab:green
layer3.2.conv2,244909,tab:green
layer3.2.conv3,123447,tab:green
layer3.3.conv1,116518,tab:green
layer3.3.conv2,250305,tab:green
layer3.3.conv3,121446,tab:green
layer3.4.conv1,122590,tab:green
layer3.4.conv2,250555,tab:green
layer3.4.conv3,120732,tab:green
layer3.5.conv1,131249,tab:green
layer3.5.conv2,254857,tab:green
layer3.5.conv3,127206,tab:green
layer4.0.conv1,298317,tab:red
layer4.0.conv2,937218,tab:red
layer4.0.conv3,451381,tab:red
layer4.0.downsample.0,684823,tab:red
layer4.1.conv1,443045,tab:red
layer4.1.conv2,911922,tab:red
layer4.1.conv3,446141,tab:red
layer4.2.conv1,508750,tab:red
layer4.2.conv2,847998,tab:red
layer4.2.conv3,413022,tab:red
